ticker,interval,days,p1,p2,p3,GRAD1_BUY_Z_MIN,GRAD1_SELL_Z_MIN,GRAD1_BUY_WIN_DAYS,GRAD1_SELL_WIN_DAYS,SPACING_Z_MIN_12,SPACING_Z_MIN_23,SPACING_WIN_DAYS_12,SPACING_WIN_DAYS_23,MICRO_NRG_MODEL,MICRO_NRG_WIN_DAYS,MICRO_NRG_MIN_12,MICRO_NRG_MIN_23,PHASE_BUY_PORTIONS,PHASE_SELL_PORTIONS,FINAL_PORTION_PCT,COOLDOWN,MACRO_INTERVAL,MACRO_P1,MACRO_P2,MACRO_P3,MACRO_NRG_WIN_DAYS,MACRO_NRG_Z_MIN,MACRO_NRG_Z_MAX,MACRO_DYN_PCT_MIN,MACRO_DYN_PCT_MAX,MACRO_GRAD_WIN_DAYS,MACRO_GRAD_Z_MIN,MACRO_GRAD_Z_MAX,MACRO_MULT_GRAD_MIN,MACRO_MULT_GRAD_MAX,MACRO_BUY_MULT_BULL,MACRO_BUY_MULT_BEAR,MACRO_BUY_MULT_REV,MACRO_BUY_MULT_ROLL,MACRO_SELL_MULT_BULL,MACRO_SELL_MULT_BEAR,MACRO_SELL_MULT_REV,MACRO_SELL_MULT_ROLL,TAX_MODE,ANNUAL_INCOME_BASE,PROFIT_SWEEP_INTERVAL,PROFIT_SWEEP_SHARE,preTaxEdge,postTaxEdge,netPctVsHodl,simValue,simPostTax,benchValue,benchPostTax,trades,fees,tax,lockedProfit,potentialProfit,potentialProfitBench,netAfterTaxProfit,netAfterTaxProfitBench,grossEdgeVsBench,netEdgeVsBench,edgeVsBench,sharpe,sortino,mdd,cagr,sharpe4w,sortino4w,sharpe13w,sortino13w,sharpe4wAbs,sortino4wAbs,sharpe13wAbs,sortino13wAbs,scoreMetric
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1500.305275,1306.658274,10.684409,11210.293756,10747.443329,9709.988481,9709.988481,59,87.512228,462.850427,0.0,1210.293756,-290.011519,1016.646755,-290.011519,1500.305275,1306.658274,1500.305275,0.507862,0.648163,0.476358,0.123813,1.414436,1.949112,0.564171,0.658514,0.638952,0.89429,0.271123,0.331023,1500.305275
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1826.003277,1580.244596,13.481701,11535.991758,11019.060064,9709.988481,9709.988481,60,91.36945,516.931694,0.0,1535.991758,-290.011519,1290.233077,-290.011519,1826.003277,1580.244596,1826.003277,0.549865,0.70181,0.47601,0.156888,1.409276,1.934785,0.570927,0.665502,0.699481,0.983175,0.270311,0.332493,1826.003277
LINKUSDT,1h,820,12,20,55,0.4,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2199.171952,1893.706283,16.302697,11909.160433,11292.978516,9709.988481,9709.988481,57,88.644662,616.181917,0.0,1909.160433,-290.011519,1603.694764,-290.011519,2199.171952,1893.706283,2199.171952,0.59926,0.759873,0.440569,0.1948,1.439904,2.008215,0.81602,1.048055,0.807692,1.162413,0.3557,0.472591,2199.171952
LINKUSDT,1h,820,12,20,55,0.4,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2538.712568,2178.9204,19.207077,12248.701049,11574.993463,9709.988481,9709.988481,58,92.743466,673.707586,0.0,2248.701049,-290.011519,1888.908881,-290.011519,2538.712568,2178.9204,2538.712568,0.643338,0.816,0.440228,0.229308,1.433936,1.967878,0.817911,1.051056,0.861135,1.232762,0.35723,0.473589,2538.712568
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1039.223682,919.349736,5.873632,10749.212163,10280.317455,9709.988481,9709.988481,56,78.345303,468.894708,0.0,749.212163,-290.011519,629.338217,-290.011519,1039.223682,919.349736,1039.223682,0.444571,0.56398,0.486898,0.077009,1.341313,1.848367,0.376677,0.450032,0.625165,0.85648,0.220292,0.293995,1039.223682
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1247.881182,1094.622036,7.739455,10957.869663,10461.488698,9709.988481,9709.988481,57,81.749429,496.380965,0.0,957.869663,-290.011519,804.610517,-290.011519,1247.881182,1094.622036,1247.881182,0.47234,0.598183,0.485967,0.098186,1.353027,1.88069,0.381584,0.453465,0.64037,0.88244,0.216567,0.291225,1247.881182
LINKUSDT,1h,820,12,20,55,0.4,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2651.935685,2274.027818,19.775225,12361.924166,11630.160558,9709.988481,9709.988481,53,82.764051,731.763608,0.0,2361.924166,-290.011519,1984.016299,-290.011519,2651.935685,2274.027818,2651.935685,0.658355,0.835591,0.414218,0.240818,1.210967,1.705915,0.794616,1.068492,0.867725,1.241253,0.620407,0.839385,2651.935685
LINKUSDT,1h,820,12,20,55,0.4,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2897.435662,2480.247799,21.978878,12607.424143,11844.135043,9709.988481,9709.988481,54,86.588133,763.2891,0.0,2607.424143,-290.011519,2190.23628,-290.011519,2897.435662,2480.247799,2897.435662,0.690751,0.875583,0.413149,0.265779,1.213792,1.72525,0.795374,1.066381,0.877375,1.244069,0.62068,0.83855,2897.435662
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1134.936511,999.748512,7.095824,10844.924992,10398.992173,9709.988481,9709.988481,52,76.935827,445.932819,0.0,844.924992,-290.011519,709.736993,-290.011519,1134.936511,999.748512,1134.936511,0.448098,0.568428,0.448688,0.086723,1.229619,1.735487,0.668687,0.842132,0.748162,1.079164,0.276595,0.371463,1134.936511
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,5,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1395.368257,1218.511179,9.284744,11105.356738,10611.536085,9709.988481,9709.988481,51,75.470544,493.820653,0.0,1105.356738,-290.011519,928.49966,-290.011519,1395.368257,1218.511179,1395.368257,0.487852,0.622827,0.448688,0.113158,1.306988,1.806119,0.662905,0.830046,0.722127,1.025683,0.271932,0.35889,1395.368257
